shopify_id,title,handle,type,model,tier,yotpo_key,key_source,yotpo_name,yotpo_group,reviews,score,other_keys
10120617296112,Hardwin 52 Black,spy-hardwin-52-black-sunglasses,Sunglasses,HARDWIN 52,C-group,5700000000121,sibling,HARDWIN,HARDWIN 52,4,5.0,
10120615231728,Hotspot Gaming DEL Translucent Purple,spy-hotspot-gaming-del-translucent-purple-sunglasses,Eyeglasses,HOTSPOT GAMING,C-group,5700000000153,sibling,Hot Spot Happy Gaming,HOTSPOT GAMING,4,5.0,
10120613921008,Kaden 50 Black,spy-kaden-50-black-sunglasses,Sunglasses,KADEN 50,C-group,5700000000110,sibling,KADEN,KADEN,2,5.0,
10120613003504,Foundation Tear Off 10 Pack Clear,spy-foundation-tear-off-10-pack-clear-sunglasses,Motocross Goggles,FOUNDATION TEAR OFF 10 PACK,B-name-mismatch,953506000001,sku,Foundation Mx Tear Offs,Foundation Tear Off 50 Pack,75,4.88,
10120613167344,Foundation Tear Off 10 Pack X 2 Clear,spy-foundation-tear-off-10-pack-x-2-clear-sunglasses,Motocross Goggles,FOUNDATION TEAR OFF 10 PACK X 2,B-name-mismatch,953506000228,sku,Foundation Mx Tear Offs,Foundation Tear Off 50 Pack,75,4.88,
10120613101808,Foundation Tear Off 20 Pack Clear,spy-foundation-tear-off-20-pack-clear-sunglasses,Motocross Goggles,FOUNDATION TEAR OFF 20 PACK,B-name-mismatch,953506000005,sku,Foundation Mx Tear Offs,Foundation Tear Off 50 Pack,75,4.88,
10120600256752,Helm Replacement Lens,spy-helm-replacement-lens-no-colour-reference-sunglasses,Accessories,HELM REPLACEMENT LENS,B-name-mismatch,983015000350,sku,Helm + Helm 2 Replacement Lenses,Helm + Helm 2 Replacement Lenses,24,4.62,983015000473;983015000864
10120614117616,Discord Slayco Matte Black,spy-discord-slayco-matte-black-sunglasses,Sunglasses,DISCORD SLAYCO,B-name-mismatch,5700000000123,sku,Discord Happy Gaming,DISCORD GAMING,15,4.93,
10120617984240,Foundation CVS Clear,spy-foundation-cvs-clear-sunglasses,Motocross Goggles,FOUNDATION CVS,B-name-mismatch,953506522000,sku,Foundation MX Clear View System,,3,5.0,953506000734
10120618639600,Crusher Black Matte,spy-crusher-black-matte-sunglasses,Snow Goggles,,B-name-mismatch,313522374185,sku,Crusher Snow Goggle,Crusher Snow Goggle,1,4.0,
10120617787632,Trenton 57 Brushed Gunmetal Matte Tort,spy-trenton-57-brushed-gunmetal-matte-tort-sunglasses,Sunglasses,TRENTON 57,B-name-mismatch,573487397000,sku,Trenton Large,,0,0,
10120617853168,Trenton 57 Matte Black Matte Black,spy-trenton-57-matte-black-matte-black-sunglasses,Sunglasses,TRENTON 57,B-name-mismatch,573487849000,sku,Trenton Large,,0,0,
10120616771824,Woot/Woot Race CVS System,spy-woot-woot-race-cvs-system-no-colour-reference-sunglasses,Motocross Goggles,WOOT/WOOT RACE CVS SYSTEM,B-name-mismatch,053346522000,sku,Woot Woot Race Clear View System,,0,0,
10120608481520,Box Logo SS Tee Black,spy-box-logo-ss-tee-black-sunglasses,Gear,BOX LOGO SS TEE,D-unmatched,,,,,,,
10120612446448,Canston 54 Matte Black,spy-canston-54-matte-black-sunglasses,Sunglasses,CANSTON 54,D-unmatched,,,,,,,
10120612577520,Canston 54 Matte Silver,spy-canston-54-matte-silver-sunglasses,Sunglasses,CANSTON 54,D-unmatched,,,,,,,
10120617230576,Canston 56 Matte Black,spy-canston-56-matte-black-sunglasses,Sunglasses,CANSTON 56,D-unmatched,,,,,,,
10120617263344,Canston 56 Matte Silver,spy-canston-56-matte-silver-sunglasses,Sunglasses,CANSTON 56,D-unmatched,,,,,,,
10120614478064,Crusher Elite AF BKL Matte Black,spy-crusher-elite-af-bkl-matte-black-sunglasses,Snow Goggles,CRUSHER ELITE AF BKL,D-unmatched,,,,,,,
10120614248688,Crusher Elite AF BKL Matte White,spy-crusher-elite-af-bkl-matte-white-sunglasses,Snow Goggles,CRUSHER ELITE AF BKL,D-unmatched,,,,,,,
10120602747120,Crusher Elite Eco Black,spy-crusher-elite-eco-black-sunglasses,Snow Goggles,CRUSHER ELITE ECO,D-unmatched,,,,,,,
10120602714352,Crusher Elite Eco Matte Black,spy-crusher-elite-eco-matte-black-sunglasses,Snow Goggles,CRUSHER ELITE ECO,D-unmatched,,,,,,,
10120602681584,Crusher Elite Eco Matte White,spy-crusher-elite-eco-matte-white-sunglasses,Snow Goggles,CRUSHER ELITE ECO,D-unmatched,,,,,,,
10120602845424,Crusher Elite Eco White,spy-crusher-elite-eco-white-sunglasses,Snow Goggles,CRUSHER ELITE ECO,D-unmatched,,,,,,,
10120601239792,Crusher Elite JR Eco Pink Party,spy-crusher-elite-jr-eco-pink-party-sunglasses,Snow Goggles,CRUSHER ELITE JR ECO,D-unmatched,,,,,,,
10120599142640,Crusher Elite JR Eco Redline,spy-crusher-elite-jr-eco-redline-sunglasses,Snow Goggles,CRUSHER ELITE JR ECO,D-unmatched,,,,,,,
10120608940272,Fierce Champion Flat Bill Hat Coal,spy-fierce-champion-flat-bill-hat-coal-sunglasses,Gear,FIERCE CHAMPION FLAT BILL HAT,D-unmatched,,,,,,,
10120604680432,Hardwin Fusion 50 Black Brushed Bronze,spy-hardwin-fusion-50-black-brushed-bronze-sunglasses,Sunglasses,HARDWIN FUSION 50,D-unmatched,,,,,,,
10120604156144,Hardwin Fusion 50 Crystal Smoke Matte Dark Gunmetal,spy-hardwin-fusion-50-crystal-smoke-matte-dark-gunmetal-sunglasses,Sunglasses,HARDWIN FUSION 50,D-unmatched,,,,,,,
10120604418288,Hardwin Fusion 50 Honey Tort Brushed Bronze,spy-hardwin-fusion-50-honey-tort-brushed-bronze-sunglasses,Sunglasses,HARDWIN FUSION 50,D-unmatched,,,,,,,
10120615461104,Hardwin Fusion 52 Honey Tort Brushed Bronze,spy-hardwin-fusion-52-honey-tort-brushed-bronze-sunglasses,Sunglasses,HARDWIN FUSION 52,D-unmatched,,,,,,,
10120615493872,Hot Spot Optical 56 Crystal,spy-hot-spot-optical-56-crystal-sunglasses,Eyeglasses,HOT SPOT OPTICAL 56,D-unmatched,,,,,,,
10120615756016,Hot Spot Optical 56 Translucent Brick,spy-hot-spot-optical-56-translucent-brick-sunglasses,Eyeglasses,HOT SPOT OPTICAL 56,D-unmatched,,,,,,,
10120615723248,Hot Spot Optical 56 Translucent Honey,spy-hot-spot-optical-56-translucent-honey-sunglasses,Eyeglasses,HOT SPOT OPTICAL 56,D-unmatched,,,,,,,
10120618868976,Hot Spot Optical 58 Translucent Honey,spy-hot-spot-optical-58-translucent-honey-sunglasses,Eyeglasses,HOT SPOT OPTICAL 58,D-unmatched,,,,,,,
10120612643056,Kaden Fusion 50 Black Brushed Bronze,spy-kaden-fusion-50-black-brushed-bronze-sunglasses,Sunglasses,KADEN FUSION 50,D-unmatched,,,,,,,
10120612610288,Kaden Fusion 50 Crystal Smoke Matte Dark Gunmetal,spy-kaden-fusion-50-crystal-smoke-matte-dark-gunmetal-sunglasses,Sunglasses,KADEN FUSION 50,D-unmatched,,,,,,,
10120612872432,Kaden Fusion 50 Honey Tort Fade Brushed Bronze,spy-kaden-fusion-50-honey-tort-fade-brushed-bronze-sunglasses,Sunglasses,KADEN FUSION 50,D-unmatched,,,,,,,
10120617918704,Kaden Fusion 52 Honey Tort Fade Brushed Bronze,spy-kaden-fusion-52-honey-tort-fade-brushed-bronze-sunglasses,Sunglasses,KADEN FUSION 52,D-unmatched,,,,,,,
10120618803440,Positive Revolution Dad Hat Black,spy-positive-revolution-dad-hat-black-sunglasses,Gear,POSITIVE REVOLUTION DAD HAT,D-unmatched,,,,,,,
10120618606832,Positive Revolution Dad Hat Khaki,spy-positive-revolution-dad-hat-khaki-sunglasses,Gear,POSITIVE REVOLUTION DAD HAT,D-unmatched,,,,,,,
10120614936816,Renley 58 Crystal Smoke,spy-renley-58-crystal-smoke-sunglasses,Sunglasses,RENLEY 58,D-unmatched,,,,,,,
10120615067888,Renley 58 Matte Black,spy-renley-58-matte-black-sunglasses,Sunglasses,RENLEY 58,D-unmatched,,,,,,,
10120613265648,Replacement Lens Crusher Elite,spy-replacement-lens-crusher-elite-no-colour-reference-sunglasses,Snow Goggles,REPLACEMENT LENS CRUSHER ELITE,D-unmatched,,,,,,,
10120613232880,Replacement Lens Megalith,spy-replacement-lens-megalith-no-colour-reference-sunglasses,Snow Goggles,REPLACEMENT LENS MEGALITH,D-unmatched,,,,,,,
10120598388976,Replacement Lens Waypoint,spy-replacement-lens-waypoint-no-colour-reference-sunglasses,Snow Goggles,REPLACEMENT LENS WAYPOINT,D-unmatched,,,,,,,
